  ilv   flv            5K           10K           20K           30K           50K           80K          100K          150K          200K          300K
   27    24    3.1233E-12    2.7084E-12    2.0503E-12    1.7346E-12    1.5012E-12    1.4491E-12    1.4733E-12    1.5896E-12    1.7250E-12    1.9885E-12
   27    25    2.2696E-12    1.9722E-12    1.3782E-12    1.0897E-12    8.7743E-13    8.2381E-13    8.3618E-13    9.0430E-13    9.7917E-13    1.1113E-12
   27    26    4.1938E-12    3.9204E-12    3.3897E-12    3.1750E-12    3.0904E-12    3.1637E-12    3.2350E-12    3.4134E-12    3.5781E-12    3.8652E-12
   28     1    2.3577E-13    1.6692E-13    1.1037E-13    8.7409E-14    7.0570E-14    6.7636E-14    7.1222E-14    8.8586E-14    1.1229E-13    1.7137E-13
   28     2    6.6850E-13    4.1285E-13    2.3426E-13    1.7302E-13    1.3241E-13    1.2078E-13    1.2152E-13    1.3112E-13    1.4425E-13    1.7402E-13
   28     3    1.4628E-12    1.0399E-12    7.0551E-13    5.8132E-13    5.0042E-13    4.8829E-13    5.0116E-13    5.5795E-13    6.3177E-13    8.1098E-13
   28     4    8.8100E-13    9.8850E-13    1.1207E-12    1.2332E-12    1.4321E-12    1.6849E-12    1.8381E-12    2.1962E-12    2.5338E-12    3.1740E-12
   28     5    5.1545E-13    3.5848E-13    2.2785E-13    1.7889E-13    1.4655E-13    1.4183E-13    1.4677E-13    1.6552E-13    1.8534E-13    2.2177E-13
   28     6    1.1421E-12    8.2677E-13    5.7939E-13    4.9264E-13    4.4450E-13    4.4932E-13    4.6524E-13    5.1327E-13    5.6046E-13    6.4315E-13
   28     7    1.3417E-12    1.2535E-12    1.1954E-12    1.2108E-12    1.3009E-12    1.4631E-12    1.5735E-12    1.8461E-12    2.1140E-12    2.6503E-12
   28     8    1.9770E-12    1.2883E-12    7.6968E-13    5.8796E-13    4.7152E-13    4.4542E-13    4.5235E-13    4.8853E-13    5.2870E-13    5.9898E-13
   28     9    2.2576E-12    1.7814E-12    1.3635E-12    1.2077E-12    1.1431E-12    1.2315E-12    1.3304E-12    1.6141E-12    1.9011E-12    2.4395E-12
   28    10    1.3780E-12    1.0213E-12    7.2452E-13    6.1603E-13    5.5388E-13    5.5698E-13    5.7682E-13    6.4501E-13    7.1970E-13    8.6193E-13
   28    11    3.3857E-12    2.7010E-12    2.1252E-12    1.9275E-12    1.8407E-12    1.8831E-12    1.9317E-12    2.0528E-12    2.1586E-12    2.3275E-12
   28    12    2.5257E-12    1.8874E-12    1.3088E-12    1.0669E-12    8.7571E-13    7.9563E-13    7.8669E-13    8.1838E-13    8.7807E-13    1.0095E-12
   28    13    1.2717E-12    9.2017E-13    5.7823E-13    4.4593E-13    3.6201E-13    3.5243E-13    3.6453E-13    4.0222E-13    4.3259E-13    4.6639E-13
   28    14    1.8142E-12    1.8589E-12    1.8094E-12    1.8004E-12    1.8417E-12    1.9047E-12    1.9337E-12    1.9837E-12    2.0258E-12    2.1161E-12
   28    15    1.9070E-12    1.5460E-12    1.1421E-12    9.7219E-13    8.7008E-13    8.8468E-13    9.2477E-13    1.0466E-12    1.1702E-12    1.4038E-12
   28    16    2.9426E-12    2.0394E-12    1.2606E-12    9.5855E-13    7.4048E-13    6.6500E-13    6.6124E-13    6.9458E-13    7.4133E-13    8.2423E-13
   28    17    2.2573E-12    1.8663E-12    1.5570E-12    1.4925E-12    1.5471E-12    1.6927E-12    1.7799E-12    1.9506E-12    2.0722E-12    2.2276E-12
   28    18    1.8092E-12    1.2624E-12    7.9978E-13    6.3779E-13    5.5340E-13    5.6674E-13    5.9409E-13    6.6449E-13    7.2292E-13    8.0724E-13
   28    19    2.7295E-12    2.1048E-12    1.4992E-12    1.2401E-12    1.0452E-12    9.8506E-13    9.9354E-13    1.0704E-12    1.1751E-12    1.3993E-12
   28    20    1.7734E-12    1.3912E-12    9.7769E-13    7.9115E-13    6.4752E-13    6.0527E-13    6.1414E-13    6.7708E-13    7.5836E-13    9.2657E-13
   28    21    2.2716E-12    1.5985E-12    9.6681E-13    7.2135E-13    5.6178E-13    5.4169E-13    5.6650E-13    6.5399E-13    7.3825E-13    8.6736E-13
   28    22    2.5098E-12    2.1963E-12    1.8370E-12    1.7468E-12    1.8283E-12    2.0788E-12    2.2462E-12    2.6132E-12    2.9087E-12    3.3400E-12
   28    23    2.3694E-12    2.0251E-12    1.5465E-12    1.3435E-12    1.2332E-12    1.2742E-12    1.3378E-12    1.5176E-12    1.6858E-12    1.9586E-12
   28    24    2.3222E-12    1.9302E-12    1.3895E-12    1.1256E-12    9.0496E-13    8.0909E-13    7.9638E-13    8.2573E-13    8.8772E-13    1.0331E-12
   28    25    1.5494E-12    1.2966E-12    9.4258E-13    7.8690E-13    6.9115E-13    6.9778E-13    7.2833E-13    8.2309E-13    9.2065E-13    1.1117E-12
   28    26    2.5952E-12    2.3211E-12    1.8772E-12    1.6835E-12    1.6069E-12    1.7173E-12    1.8267E-12    2.1083E-12    2.3643E-12    2.7865E-12
   28    27    2.4181E-12    1.8013E-12    1.1663E-12    9.0596E-13    7.2393E-13    6.8391E-13    7.0258E-13    7.9326E-13    8.9811E-13    1.0942E-12
   29     1    1.5740E-13    9.2665E-14    4.5948E-14    2.8916E-14    1.6191E-14    1.0862E-14    9.9499E-15    1.0325E-14    1.1881E-14    1.5780E-14
   29     2    6.9455E-13    4.6986E-13    2.9088E-13    2.2349E-13    1.7775E-13    1.7203E-13    1.8229E-13    2.2733E-13    2.8842E-13    4.5583E-13
   29     3    1.3443E-12    8.5438E-13    5.1452E-13    3.9945E-13    3.2397E-13    3.0141E-13    3.0190E-13    3.1854E-13    3.4296E-13    3.9807E-13
   29     4    5.4838E-13    3.7427E-13    2.3443E-13    1.8288E-13    1.4919E-13    1.4454E-13    1.4977E-13    1.6931E-13    1.9005E-13    2.2912E-13
   29     5    8.4600E-13    8.7970E-13    9.5969E-13    1.0495E-12    1.2263E-12    1.4728E-12    1.6313E-12    2.0196E-12    2.3988E-12    3.1390E-12
   29     6    1.3226E-12    1.2389E-12    1.1753E-12    1.1839E-12    1.2766E-12    1.4747E-12    1.6214E-12    2.0053E-12    2.3955E-12    3.1808E-12
   29     7    9.4605E-13    6.9678E-13    4.9326E-13    4.2488E-13    3.9249E-13    4.0564E-13    4.2374E-13    4.7343E-13    5.2024E-13    5.9908E-13
   29     8    2.3691E-12    1.8775E-12    1.4539E-12    1.3034E-12    1.2234E-12    1.2317E-12    1.2563E-12    1.3319E-12    1.4123E-12    1.5734E-12
   29     9    2.0012E-12    1.4446E-12    9.9494E-13    8.2108E-13    6.9848E-13    6.6172E-13    6.6499E-13    7.0240E-13    7.5355E-13    8.6171E-13
   29    10    1.8304E-12    1.5331E-12    1.2400E-12    1.1181E-12    1.0472E-12    1.0699E-12    1.1128E-12    1.2524E-12    1.4105E-12    1.7487E-12
   29    11    2.6152E-12    1.7139E-12    1.0145E-12    7.6103E-13    5.8835E-13    5.3682E-13    5.3821E-13    5.7135E-13    6.1345E-13    6.9341E-13
   29    12    2.7450E-12    2.1335E-12    1.5213E-12    1.2591E-12    1.0732E-12    1.0482E-12    1.0866E-12    1.2426E-12    1.4225E-12    1.7783E-12
   29    13    1.9189E-12    1.8794E-12    1.7698E-12    1.7389E-12    1.7625E-12    1.8151E-12    1.8400E-12    1.8820E-12    1.9180E-12    2.0024E-12
   29    14    1.3082E-12    9.3174E-13    5.8269E-13    4.5059E-13    3.6995E-13    3.6768E-13    3.8507E-13    4.3459E-13    4.7398E-13    5.1981E-13
   29    15    1.7605E-12    1.3480E-12    9.4110E-13    7.7083E-13    6.4449E-13    6.0666E-13    6.1336E-13    6.6742E-13    7.3950E-13    8.8786E-13
   29    16    3.1579E-12    2.5251E-12    1.9696E-12    1.7779E-12    1.7037E-12    1.7711E-12    1.8378E-12    2.0036E-12    2.1502E-12    2.3868E-12
   29    17    1.8430E-12    1.2938E-12    8.1166E-13    6.4089E-13    5.5009E-13    5.6143E-13    5.8950E-13    6.6547E-13    7.3201E-13    8.3370E-13
   29    18    2.1157E-12    1.8210E-12    1.6160E-12    1.6077E-12    1.7292E-12    1.9387E-12    2.0608E-12    2.3062E-12    2.4888E-12    2.7324E-12
   29    19    2.5314E-12    1.9672E-12    1.3962E-12    1.1370E-12    9.2194E-13    8.2600E-13    8.1158E-13    8.3576E-13    8.9272E-13    1.0286E-12
   29    20    1.8906E-12    1.5024E-12    1.0696E-12    8.9263E-13    7.8567E-13    7.9173E-13    8.2478E-13    9.3081E-13    1.0456E-12    1.2856E-12
   29    21    2.6124E-12    2.2333E-12    1.7850E-12    1.6367E-12    1.6337E-12    1.7857E-12    1.8955E-12    2.1371E-12    2.3306E-12    2.6147E-12
   29    22    2.1456E-12    1.5501E-12    9.8046E-13    7.6023E-13    6.2388E-13    6.2009E-13    6.5135E-13    7.4992E-13    8.4612E-13    1.0147E-12
   29    23    2.6382E-12    2.0364E-12    1.3621E-12    1.0651E-12    8.2981E-13    7.3442E-13    7.2424E-13    7.5594E-13    8.0988E-13    9.0961E-13
   29    24    2.2263E-12    1.8602E-12    1.3858E-12    1.1609E-12    9.8251E-13    9.1548E-13    9.1260E-13    9.5476E-13    1.0246E-12    1.1862E-12
   29    25    1.6338E-12    1.3755E-12    9.5826E-13    7.5277E-13    5.8991E-13    5.3549E-13    5.3907E-13    5.9276E-13    6.6866E-13    8.3227E-13
   29    26    2.5594E-12    1.8294E-12    1.1174E-12    8.2727E-13    6.2068E-13    5.7038E-13    5.8762E-13    6.7710E-13    7.7829E-13    9.6076E-13
   29    27    2.4799E-12    2.2262E-12    1.8070E-12    1.6342E-12    1.5973E-12    1.7693E-12    1.9201E-12    2.2951E-12    2.6236E-12    3.1358E-12
   29    28    5.4248E-12    5.7410E-12    6.0821E-12    6.4893E-12    7.2454E-12    8.0666E-12    8.4690E-12    9.1740E-12    9.6027E-12    9.9796E-12
   30     1    4.4191E-13    2.9286E-13    2.0284E-13    1.9233E-13    2.2164E-13    2.8081E-13    3.1588E-13    3.8450E-13    4.3249E-13    4.9140E-13
   30     2    1.8289E-12    1.1720E-12    6.9273E-13    5.2666E-13    4.1824E-13    3.8836E-13    3.9043E-13    4.1732E-13    4.5894E-13    5.7366E-13
   30     3    2.6360E-12    2.2297E-12    1.9148E-12    1.8567E-12    1.9118E-12    2.0267E-12    2.0866E-12    2.1929E-12    2.2643E-12    2.3542E-12
   30     4    8.7025E-13    5.6702E-13    3.4548E-13    2.6552E-13    2.0932E-13    1.9533E-13    2.0123E-13    2.3399E-13    2.7505E-13    3.5899E-13
   30     5    1.3113E-12    7.7348E-13    3.9768E-13    2.6400E-13    1.6616E-13    1.2800E-13    1.2441E-13    1.4133E-13    1.7357E-13    2.5870E-13
   30     6    1.9861E-12    1.4550E-12    1.0102E-12    8.3896E-13    7.3931E-13    7.6784E-13    8.2137E-13    9.7781E-13    1.1270E-12    1.3752E-12
   30     7    1.5967E-12    1.0427E-12    6.2979E-13    4.8078E-13    3.7890E-13    3.5849E-13    3.7256E-13    4.3698E-13    5.1182E-13    6.5609E-13
   30     8    5.8699E-12    4.6274E-12    3.3815E-12    2.7747E-12    2.1891E-12    1.8325E-12    1.7277E-12    1.6586E-12    1.7275E-12    2.0826E-12
   30     9    1.8106E-12    1.1840E-12    7.1360E-13    5.5431E-13    4.6009E-13    4.5635E-13    4.7901E-13    5.5642E-13    6.3372E-13    7.5721E-13
   30    10    2.8932E-12    2.0983E-12    1.4621E-12    1.2293E-12    1.0993E-12    1.1315E-12    1.1947E-12    1.3803E-12    1.5574E-12    1.8443E-12
   30    11    5.5445E-12    4.6068E-12    3.5740E-12    3.1390E-12    2.8511E-12    2.8269E-12    2.8882E-12    3.0981E-12    3.2979E-12    3.5900E-12
   30    12    2.8055E-12    2.0558E-12    1.5050E-12    1.3537E-12    1.3385E-12    1.4418E-12    1.5151E-12    1.6798E-12    1.8254E-12    2.0865E-12
   30    13    1.1443E-12    8.1882E-13    5.3815E-13    4.2981E-13    3.5322E-13    3.2650E-13    3.2475E-13    3.3832E-13    3.6306E-13    4.2791E-13
   30    14    1.0038E-12    7.3051E-13    4.7654E-13    3.7783E-13    3.0917E-13    2.8957E-13    2.9323E-13    3.2483E-13    3.7567E-13    5.3010E-13
   30    15    2.5350E-12    1.7326E-12    1.0958E-12    8.6556E-13    7.1650E-13    6.9382E-13    7.1718E-13    8.1279E-13    9.1992E-13    1.1212E-12
   30    16    1.1091E-11    1.2559E-11    1.4109E-11    1.5223E-11    1.7009E-11    1.8964E-11    1.9980E-11    2.1984E-11    2.3569E-11    2.6093E-11
   30    17    1.4572E-12    1.1001E-12    7.3692E-13    5.8518E-13    4.7778E-13    4.5877E-13    4.7639E-13    5.5529E-13    6.5059E-13    8.4578E-13
   30    18    1.7288E-12    1.2898E-12    8.7222E-13    7.0473E-13    5.8233E-13    5.3517E-13    5.2870E-13    5.3942E-13    5.6580E-13    6.3659E-13
   30    19    2.2174E-12    1.5460E-12    9.5775E-13    7.5095E-13    6.4816E-13    6.7154E-13    7.0722E-13    7.9313E-13    8.6365E-13    9.7449E-13
   30    20    3.5403E-12    2.9050E-12    2.3135E-12    2.1170E-12    2.0740E-12    2.2083E-12    2.3181E-12    2.5779E-12    2.8005E-12    3.1508E-12
   30    21    1.9306E-12    1.5267E-12    1.0288E-12    8.0927E-13    6.5162E-13    6.1652E-13    6.3168E-13    7.0654E-13    7.9477E-13    9.6419E-13
   30    22    2.0179E-12    1.5740E-12    1.0702E-12    8.4670E-13    6.7090E-13    6.0619E-13    6.0572E-13    6.5684E-13    7.4095E-13    9.5600E-13
   30    23    9.0907E-12    8.1838E-12    7.1080E-12    6.7674E-12    6.8039E-12    7.2043E-12    7.4738E-12    8.0314E-12    8.4485E-12    9.0201E-12
   30    24    3.3926E-12    2.6439E-12    1.9558E-12    1.6745E-12    1.4560E-12    1.3352E-12    1.2897E-12    1.2175E-12    1.1754E-12    1.1337E-12
   30    25    2.5743E-12    1.9898E-12    1.3965E-12    1.1678E-12    1.0391E-12    1.0538E-12    1.0967E-12    1.2242E-12    1.3464E-12    1.5469E-12
   30    26    2.1430E-12    1.7319E-12    1.1906E-12    9.4695E-13    7.7367E-13    7.4439E-13    7.7154E-13    8.8816E-13    1.0292E-12    1.3404E-12
   30    27    2.3093E-12    2.0054E-12    1.4500E-12    1.1739E-12    9.6159E-13    9.0755E-13    9.2771E-13    1.0405E-12    1.1860E-12    1.5100E-12
   30    28    9.8483E-13    8.7635E-13    6.4931E-13    5.2785E-13    4.2005E-13    3.6797E-13    3.5849E-13    3.6619E-13    3.9066E-13    4.4926E-13
   30    29    7.9473E-13    7.3377E-13    5.5862E-13    4.6588E-13    3.9570E-13    3.8564E-13    4.0030E-13    4.5865E-13    5.2117E-13    6.2611E-13
   31     1    8.5655E-13    4.6678E-13    2.2702E-13    1.4781E-13    9.2832E-14    7.3439E-14    7.2362E-14    8.2226E-14    9.8437E-14    1.3669E-13
   31     2    1.2774E-12    8.2118E-13    5.1947E-13    4.1801E-13    3.4753E-13    3.2878E-13    3.3765E-13    3.9135E-13    4.6290E-13    6.1370E-13
   31     3    2.9534E-12    2.1432E-12    1.5089E-12    1.2698E-12    1.1324E-12    1.1743E-12    1.2496E-12    1.4683E-12    1.6777E-12    2.0312E-12
   31     4    1.3251E-12    8.3374E-13    4.9971E-13    3.9322E-13    3.2952E-13    3.1526E-13    3.1878E-13    3.4125E-13    3.7274E-13    4.5051E-13
   31     5    1.1702E-12    7.1856E-13    4.4257E-13    3.7782E-13    3.7920E-13    4.3396E-13    4.6937E-13    5.3818E-13    5.8501E-13    6.4119E-13
   31     6    2.2699E-12    1.7861E-12    1.4120E-12    1.2924E-12    1.2229E-12    1.1963E-12    1.1898E-12    1.1932E-12    1.2160E-12    1.2933E-12
   31     7    1.6996E-12    1.1617E-12    7.6400E-13    6.3244E-13    5.5383E-13    5.3667E-13    5.4070E-13    5.6644E-13    6.0367E-13    7.0177E-13
   31     8    2.2335E-12    1.4961E-12    9.7197E-13    8.0228E-13    7.1438E-13    7.3470E-13    7.7590E-13    9.0104E-13    1.0232E-12    1.2209E-12
   31     9    5.1492E-12    3.9920E-12    2.8339E-12    2.2720E-12    1.7320E-12    1.3985E-12    1.2937E-12    1.1940E-12    1.2011E-12    1.3467E-12
   31    10    2.3194E-12    1.6668E-12    1.1736E-12    1.0270E-12    9.7906E-13    1.0266E-12    1.0695E-12    1.1711E-12    1.2572E-12    1.3887E-12
   31    11    3.4017E-12    2.7123E-12    2.1942E-12    2.0633E-12    2.0923E-12    2.2611E-12    2.3756E-12    2.6336E-12    2.8594E-12    3.2522E-12
   31    12    5.1030E-12    4.2189E-12    3.1866E-12    2.7053E-12    2.3055E-12    2.1302E-12    2.1050E-12    2.1444E-12    2.2322E-12    2.4290E-12
   31    13    1.3794E-12    9.7770E-13    6.4216E-13    5.0680E-13    3.9871E-13    3.5716E-13    3.5852E-13    3.9660E-13    4.4781E-13    5.4234E-13
   31    14    1.4943E-12    1.0789E-12    6.9069E-13    5.3630E-13    4.2994E-13    4.1270E-13    4.2967E-13    4.9852E-13    5.7557E-13    7.2738E-13
   31    15    3.0800E-12    2.3521E-12    1.6502E-12    1.3497E-12    1.1095E-12    1.0034E-12    9.8431E-13    9.9404E-13    1.0344E-12    1.1431E-12
   31    16    2.4180E-12    1.6733E-12    1.0926E-12    9.1005E-13    8.5185E-13    9.2621E-13    9.8904E-13    1.1292E-12    1.2405E-12    1.4037E-12
   31    17    1.8673E-12    1.6182E-12    1.3206E-12    1.1969E-12    1.1459E-12    1.2157E-12    1.2876E-12    1.4752E-12    1.6467E-12    1.9328E-12
   31    18    1.7666E-12    1.2637E-12    8.2003E-13    6.4664E-13    5.2696E-13    5.0493E-13    5.2162E-13    5.9048E-13    6.6169E-13    7.7552E-13
   31    19    8.1744E-12    9.9654E-12    1.1732E-11    1.2875E-11    1.4589E-11    1.6394E-11    1.7311E-11    1.9082E-11    2.0437E-11    2.2472E-11
   31    20    2.8362E-12    2.1961E-12    1.6294E-12    1.4312E-12    1.3466E-12    1.4019E-12    1.4624E-12    1.6155E-12    1.7489E-12    1.9511E-12
   31    21    1.9100E-12    1.4055E-12    9.2441E-13    7.2971E-13    5.9380E-13    5.6856E-13    5.8640E-13    6.5959E-13    7.3540E-13    8.5905E-13
   31    22    2.3790E-12    2.0072E-12    1.6159E-12    1.4766E-12    1.4341E-12    1.5102E-12    1.5796E-12    1.7574E-12    1.9241E-12    2.2131E-12
   31    23    3.2234E-12    2.6865E-12    2.2114E-12    2.0399E-12    1.9431E-12    1.9162E-12    1.9100E-12    1.9031E-12    1.9042E-12    1.9207E-12
   31    24    8.7440E-12    7.8178E-12    6.7397E-12    6.3983E-12    6.4122E-12    6.7668E-12    7.0069E-12    7.5062E-12    7.8905E-12    8.4584E-12
   31    25    4.4505E-12    3.6675E-12    2.7104E-12    2.2714E-12    1.9256E-12    1.7997E-12    1.7977E-12    1.8877E-12    2.0341E-12    2.3973E-12
   31    26    2.0829E-12    1.7674E-12    1.3215E-12    1.1394E-12    1.0580E-12    1.1158E-12    1.1795E-12    1.3454E-12    1.4982E-12    1.7571E-12
   31    27    1.8644E-12    1.4315E-12    9.5753E-13    7.6427E-13    6.3825E-13    6.2087E-13    6.3934E-13    7.1127E-13    7.9077E-13    9.4196E-13
   31    28    9.1184E-13    7.8978E-13    5.8838E-13    4.9118E-13    4.1446E-13    3.8568E-13    3.8457E-13    4.0341E-13    4.3386E-13    5.0108E-13
   31    29    8.8694E-13    7.5364E-13    5.5438E-13    4.6210E-13    3.9603E-13    3.8350E-13    3.9259E-13    4.3469E-13    4.8761E-13    6.0624E-13
   31    30    1.7934E-12    1.3921E-12    8.7345E-13    6.4252E-13    4.7057E-13    4.0876E-13    4.0233E-13    4.2113E-13    4.6180E-13    5.8419E-13
   32     1    2.9031E-13    1.7333E-13    8.5593E-14    5.3422E-14    2.8780E-14    1.6840E-14    1.3680E-14    1.1059E-14    1.1140E-14    1.3132E-14
   32     2    8.6191E-13    5.3701E-13    2.9314E-13    2.0369E-13    1.3563E-13    1.0269E-13    9.3696E-14    8.5348E-14    8.4889E-14    9.2244E-14
   32     3    1.3280E-12    9.2135E-13    5.8071E-13    4.4521E-13    3.4013E-13    2.9865E-13    2.9566E-13    3.1485E-13    3.4449E-13    4.0169E-13
   32     4    6.6894E-13    4.1029E-13    2.3579E-13    1.7512E-13    1.3174E-13    1.1898E-13    1.2192E-13    1.4108E-13    1.6248E-13    1.9520E-13
   32     5    1.0860E-12    6.9963E-13    4.0466E-13    2.9999E-13    2.4021E-13    2.4956E-13    2.7286E-13    3.4318E-13    4.1663E-13    5.6979E-13
   32     6    1.3553E-12    8.2207E-13    4.5657E-13    3.3412E-13    2.5288E-13    2.2580E-13    2.2426E-13    2.3833E-13    2.6250E-13    3.2010E-13
   32     7    1.4161E-12    9.3332E-13    5.9456E-13    4.8333E-13    4.1947E-13    4.1483E-13    4.2516E-13    4.5762E-13    4.8872E-13    5.4344E-13
   32     8    2.4505E-12    1.7622E-12    1.1582E-12    9.2721E-13    7.6962E-13    7.3737E-13    7.5577E-13    8.4285E-13    9.5040E-13    1.1899E-12
   32     9    1.3905E-12    8.7062E-13    4.9771E-13    3.6619E-13    2.7204E-13    2.3792E-13    2.3626E-13    2.5334E-13    2.7698E-13    3.1578E-13
   32    10    3.2443E-12    2.7014E-12    2.2612E-12    2.1422E-12    2.1555E-12    2.2927E-12    2.3898E-12    2.6110E-12    2.8000E-12    3.1016E-12
   32    11    3.2478E-12    2.3986E-12    1.6491E-12    1.3655E-12    1.1892E-12    1.1912E-12    1.2436E-12    1.4178E-12    1.5985E-12    1.9239E-12
   32    12    2.3223E-12    1.4971E-12    8.2737E-13    5.6931E-13    3.7409E-13    2.9414E-13    2.8205E-13    2.9519E-13    3.3109E-13    4.2940E-13
   32    13    3.3442E-12    2.3045E-12    1.4803E-12    1.1527E-12    8.9607E-13    7.9088E-13    7.8060E-13    8.2663E-13    9.1362E-13    1.1331E-12
   32    14    2.6321E-12    2.2106E-12    1.9311E-12    1.8734E-12    1.8960E-12    1.9541E-12    1.9824E-12    2.0297E-12    2.0589E-12    2.0861E-12
   32    15    3.0770E-12    2.0874E-12    1.3292E-12    1.0644E-12    9.2007E-13    9.4142E-13    9.8983E-13    1.1158E-12    1.2186E-12    1.3593E-12
   32    16    4.0803E-12    3.5130E-12    2.9414E-12    2.7648E-12    2.7861E-12    3.0566E-12    3.2751E-12    3.8445E-12    4.4128E-12    5.5331E-12
   32    17    4.1388E-12    3.0667E-12    2.1842E-12    1.8624E-12    1.6742E-12    1.6778E-12    1.7253E-12    1.8668E-12    1.9993E-12    2.2133E-12
   32    18    4.5669E-12    3.5889E-12    2.5917E-12    2.1007E-12    1.6335E-12    1.3710E-12    1.3087E-12    1.3148E-12    1.4351E-12    1.8636E-12
   32    19    2.0587E-12    1.4572E-12    8.9773E-13    6.7714E-13    5.1398E-13    4.5220E-13    4.4662E-13    4.6937E-13    5.0623E-13    5.7526E-13
   32    20    4.2141E-12    3.5691E-12    3.0047E-12    2.8219E-12    2.7778E-12    2.8795E-12    2.9631E-12    3.1612E-12    3.3327E-12    3.6042E-12
   32    21    6.4290E-12    7.5996E-12    9.1034E-12    1.0143E-11    1.1678E-11    1.3233E-11    1.4010E-11    1.5507E-11    1.6654E-11    1.8377E-11
   32    22    3.7418E-12    3.0606E-12    2.3865E-12    2.0995E-12    1.8969E-12    1.8540E-12    1.8742E-12    1.9675E-12    2.0733E-12    2.2717E-12
   32    23    2.7843E-12    2.1245E-12    1.4276E-12    1.1333E-12    9.3158E-13    9.0498E-13    9.4066E-13    1.0786E-12    1.2323E-12    1.5337E-12
   32    24    2.9314E-12    2.5529E-12    2.1081E-12    1.9290E-12    1.8198E-12    1.7911E-12    1.7891E-12    1.7994E-12    1.8197E-12    1.8695E-12
   32    25    2.4444E-12    1.8471E-12    1.2154E-12    9.4339E-13    7.3094E-13    6.5109E-13    6.4840E-13    6.9805E-13    7.7315E-13    9.2935E-13
   32    26    5.8830E-12    5.0857E-12    4.4157E-12    4.3115E-12    4.5180E-12    4.8970E-12    5.0986E-12    5.4777E-12    5.7612E-12    6.1856E-12
   32    27    8.6519E-12    8.2077E-12    8.0740E-12    8.1829E-12    8.5715E-12    9.1222E-12    9.4409E-12    1.0134E-11    1.0733E-11    1.1735E-11
   32    28    1.2531E-12    9.2564E-13    5.8390E-13    4.4305E-13    3.4349E-13    3.2088E-13    3.3148E-13    3.8533E-13    4.4917E-13    5.6857E-13
   32    29    1.3903E-12    1.2253E-12    9.5082E-13    8.1802E-13    7.3213E-13    7.4996E-13    7.9350E-13    9.3136E-13    1.0740E-12    1.3369E-12
   32    30    3.9594E-12    3.6084E-12    2.6481E-12    2.0965E-12    1.6146E-12    1.4282E-12    1.4304E-12    1.5939E-12    1.8467E-12    2.4412E-12
   32    31    1.8880E-12    1.7165E-12    1.2977E-12    1.0988E-12    9.6957E-13    9.5443E-13    9.7173E-13    1.0323E-12    1.0962E-12    1.2189E-12
   33     1    5.6795E-13    4.1088E-13    2.8904E-13    2.4429E-13    2.0999E-13    1.9170E-13    1.8604E-13    1.8043E-13    1.8046E-13    1.8702E-13
   33     2    1.2869E-12    1.0416E-12    7.9250E-13    6.8089E-13    5.8829E-13    5.5025E-13    5.4999E-13    5.8325E-13    6.3172E-13    7.2088E-13
   33     3    1.8605E-12    1.3507E-12    9.0765E-13    7.3689E-13    6.2286E-13    6.1058E-13    6.3630E-13    7.4179E-13    8.7272E-13    1.1752E-12
   33     4    1.1036E-12    8.8598E-13    6.9285E-13    6.3017E-13    6.1915E-13    6.7197E-13    7.1530E-13    8.1989E-13    9.1359E-13    1.0766E-12
   33     5    9.2194E-13    6.0968E-13    3.7207E-13    2.8395E-13    2.2642E-13    2.2548E-13    2.4154E-13    2.9189E-13    3.3716E-13    4.0043E-13
   33     6    1.3363E-12    9.0111E-13    5.6378E-13    4.4230E-13    3.6959E-13    3.7234E-13    3.9212E-13    4.4616E-13    4.8875E-13    5.3839E-13
   33     7    1.7541E-12    1.3331E-12    9.8655E-13    8.6732E-13    8.0730E-13    8.2322E-13    8.4956E-13    9.2092E-13    9.8443E-13    1.0811E-12
   33     8    1.9542E-12    1.3747E-12    8.9193E-13    7.1371E-13    6.0667E-13    6.2142E-13    6.6611E-13    8.0886E-13    9.6111E-13    1.2678E-12
   33     9    2.2409E-12    1.6057E-12    1.1457E-12    1.0161E-12    9.9177E-13    1.0712E-12    1.1348E-12    1.2889E-12    1.4296E-12    1.6725E-12
   33    10    1.8071E-12    1.1452E-12    6.2661E-13    4.3500E-13    2.9562E-13    2.4166E-13    2.3478E-13    2.4714E-13    2.7282E-13    3.3054E-13
   33    11    2.7539E-12    2.0402E-12    1.3856E-12    1.1470E-12    1.0077E-12    1.0178E-12    1.0669E-12    1.2344E-12    1.4233E-12    1.8182E-12
   33    12    2.2101E-12    1.5744E-12    1.0855E-12    9.2750E-13    8.5354E-13    8.7435E-13    9.0493E-13    9.8239E-13    1.0459E-12    1.1313E-12
   33    13    2.6795E-12    2.1722E-12    1.8014E-12    1.6923E-12    1.6488E-12    1.6519E-12    1.6597E-12    1.6838E-12    1.7080E-12    1.7429E-12
   33    14    3.4139E-12    2.3402E-12    1.5058E-12    1.1707E-12    8.9901E-13    7.7790E-13    7.6070E-13    7.9750E-13    8.8776E-13    1.1697E-12
   33    15    2.6120E-12    1.7523E-12    9.8197E-13    6.7233E-13    4.2639E-13    3.0684E-13    2.7638E-13    2.5437E-13    2.6067E-13    2.9731E-13
   33    16    2.3138E-12    1.6187E-12    9.5415E-13    6.8206E-13    4.7531E-13    3.9960E-13    3.9735E-13    4.4642E-13    5.2586E-13    7.2378E-13
