  ilv   flv            5K           10K           20K           30K           50K           80K          100K          150K          200K          300K
   10     1    1.9137E-13    1.6202E-13    9.6870E-14    6.4269E-14    3.5787E-14    2.0360E-14    1.5716E-14    1.0370E-14    8.3013E-15    6.9345E-15
   10     2    1.1129E-12    9.8282E-13    6.5449E-13    4.9808E-13    3.7848E-13    3.3345E-13    3.2782E-13    3.3524E-13    3.5008E-13    3.7861E-13
   10     3    9.6901E-13    9.3846E-13    6.6296E-13    5.2209E-13    4.2558E-13    4.1286E-13    4.2473E-13    4.6067E-13    4.8808E-13    5.1636E-13
   10     4    2.1008E-12    2.1640E-12    1.6882E-12    1.3837E-12    1.1263E-12    1.0772E-12    1.1198E-12    1.2921E-12    1.4785E-12    1.8308E-12
   10     5    2.8368E-12    4.8726E-12    6.7967E-12    7.8586E-12    9.2794E-12    1.0692E-11    1.1409E-11    1.2828E-11    1.3961E-11    1.5759E-11
   10     6    4.3419E-12    6.9139E-12    8.7749E-12    9.6506E-12    1.0818E-11    1.2062E-11    1.2744E-11    1.4215E-11    1.5496E-11    1.7704E-11
   10     7    3.2143E-12    4.3017E-12    4.7465E-12    4.9893E-12    5.4044E-12    5.8041E-12    5.9736E-12    6.2463E-12    6.4243E-12    6.6566E-12
   10     8    2.9242E-12    3.6044E-12    3.5535E-12    3.4767E-12    3.4891E-12    3.6000E-12    3.6735E-12    3.8267E-12    3.9464E-12    4.1258E-12
   10     9    4.0758E-12    3.9029E-12    3.4966E-12    3.3100E-12    3.2109E-12    3.2338E-12    3.2710E-12    3.3695E-12    3.4655E-12    3.6545E-12
   11     1    1.1485E-12    1.2948E-12    1.1992E-12    1.0708E-12    8.8965E-13    7.4179E-13    6.8783E-13    6.3272E-13    6.4278E-13    7.8199E-13
   11     2    2.4829E-12    2.5735E-12    2.3787E-12    2.2705E-12    2.2085E-12    2.2185E-12    2.2435E-12    2.3210E-12    2.3946E-12    2.4966E-12
   11     3    4.5192E-12    7.3203E-12    1.0236E-11    1.1902E-11    1.4090E-11    1.6217E-11    1.7272E-11    1.9298E-11    2.0869E-11    2.3360E-11
   11     4    1.1994E-12    1.3100E-12    1.1521E-12    1.0730E-12    1.0703E-12    1.1751E-12    1.2577E-12    1.4561E-12    1.6324E-12    1.9273E-12
   11     5    7.9492E-13    7.2611E-13    4.9979E-13    3.9193E-13    3.2528E-13    3.3840E-13    3.6556E-13    4.3374E-13    4.8410E-13    5.3856E-13
   11     6    9.8364E-13    1.0467E-12    8.1531E-13    6.7482E-13    5.6698E-13    5.5787E-13    5.8594E-13    6.8519E-13    7.8326E-13    9.3461E-13
   11     7    1.7875E-12    2.0390E-12    1.8796E-12    1.8120E-12    1.8840E-12    2.1115E-12    2.2633E-12    2.5938E-12    2.8625E-12    3.2779E-12
   11     8    4.4006E-12    5.4367E-12    5.6483E-12    5.8294E-12    6.3415E-12    7.0272E-12    7.3818E-12    8.0163E-12    8.4361E-12    8.9567E-12
   11     9    4.4772E-12    3.5523E-12    2.4822E-12    1.9936E-12    1.5990E-12    1.4251E-12    1.3921E-12    1.3940E-12    1.4300E-12    1.5028E-12
   11    10    2.8264E-12    2.3198E-12    1.5764E-12    1.2458E-12    1.0197E-12    9.7914E-13    1.0035E-12    1.0984E-12    1.1887E-12    1.3139E-12
   12     1    4.9039E-13    3.7819E-13    2.4750E-13    1.9993E-13    1.8154E-13    2.0179E-13    2.2083E-13    2.6345E-13    2.9330E-13    3.2246E-13
   12     2    2.1007E-12    2.1214E-12    1.9424E-12    1.8904E-12    1.9727E-12    2.2059E-12    2.3643E-12    2.7180E-12    3.0136E-12    3.4846E-12
   12     3    1.8549E-12    1.6469E-12    1.1837E-12    9.7962E-13    8.6721E-13    9.0966E-13    9.7435E-13    1.1516E-12    1.3084E-12    1.5359E-12
   12     4    1.6628E-12    1.6968E-12    1.4561E-12    1.3036E-12    1.1635E-12    1.0935E-12    1.0790E-12    1.0829E-12    1.1088E-12    1.1742E-12
   12     5    2.6125E-12    2.8098E-12    2.3955E-12    2.0447E-12    1.6341E-12    1.3421E-12    1.2386E-12    1.1107E-12    1.0680E-12    1.0782E-12
   12     6    3.2769E-12    5.3617E-12    7.4493E-12    8.7118E-12    1.0442E-11    1.2082E-11    1.2855E-11    1.4266E-11    1.5287E-11    1.6733E-11
   12     7    2.2272E-12    2.5198E-12    2.3524E-12    2.2104E-12    2.0828E-12    2.0172E-12    1.9992E-12    1.9867E-12    1.9965E-12    2.0409E-12
   12     8    2.8610E-12    3.0793E-12    2.7316E-12    2.5455E-12    2.4554E-12    2.4936E-12    2.5405E-12    2.6614E-12    2.7661E-12    2.9128E-12
   12     9    7.9471E-12    6.5449E-12    5.2822E-12    4.9491E-12    5.0232E-12    5.4189E-12    5.6572E-12    6.1067E-12    6.4178E-12    6.8295E-12
   12    10    5.4647E-12    5.1433E-12    4.5927E-12    4.3261E-12    4.1765E-12    4.2203E-12    4.2980E-12    4.5435E-12    4.8150E-12    5.3631E-12
   12    11    2.5097E-12    1.9749E-12    1.2717E-12    9.4008E-13    6.6649E-13    5.4753E-13    5.3102E-13    5.6519E-13    6.4317E-13    8.4860E-13
   13     1    2.1012E-13    1.6109E-13    9.3262E-14    6.2724E-14    3.7973E-14    2.6610E-14    2.4118E-14    2.3091E-14    2.4425E-14    2.8336E-14
   13     2    1.9611E-12    2.4059E-12    2.3824E-12    2.3132E-12    2.3256E-12    2.5047E-12    2.6630E-12    3.1070E-12    3.5829E-12    4.6010E-12
   13     3    2.1765E-12    1.8745E-12    1.3245E-12    1.0778E-12    9.0511E-13    8.7332E-13    8.9572E-13    9.9062E-13    1.0935E-12    1.2703E-12
